t_seconds,fr_elbow_tau,fl_elbow_tau,br_elbow_tau,bl_elbow_tau,fr_bottom_tau,fl_bottom_tau,br_bottom_tau,bl_bottom_tau
0.023284435272216797,1.0972220096992238e-05,5.8118097160829085e-06,5.0348178484305104e-06,3.7057118229265353e-06,0.0014157923751353088,0.001407622940144565,0.0014331939372174197,0.0014394393000731918
0.04583263397216797,2.059518463848427e-05,2.1254521559822983e-05,5.371812384432156e-06,9.766663773513538e-06,0.0009052214226561631,0.0009005400034836983,0.0009174366975861263,0.0009213192797907526
0.06851959228515625,1.86484821857859e-05,2.0831306501012082e-05,7.169336551890023e-06,9.294862109218287e-06,0.000581559783680806,0.0005788545440279341,0.0005898085706449825,0.0005921591682247588
0.09113764762878418,1.4224196920054268e-05,1.640843450420401e-05,6.245271289627761e-06,7.257003249894388e-06,0.0003756338739480872,0.0003740317386507442,0.00038110734504835235,0.00038254185274231656
0.11573314666748047,0.027891922710868763,0.03478560465727222,0.005839729990771685,0.004139925240709565,0.17,0.17,0.17,0.17
0.1407756805419922,0.07231001766277578,0.07329180762487228,0.062413979794390125,0.057050956495673065,0.11932732112918136,0.1195071908268799,0.17,0.17
0.16643309593200684,0.06390831605225464,0.0660989095831796,0.05626748708180825,0.05045860147063955,0.09791030309621862,0.09831980735116673,0.11013782558526335,0.11109938326678266
0.19176793098449707,0.05126897550385626,0.05144735641415889,0.0519200954971748,0.04914472474266467,0.078488698895303,0.07675661619448182,0.09098711499523876,0.09232957745911802
0.21650052070617676,0.05519378618902459,0.05473297334532857,0.060659949075497474,0.059208804364500066,0.06788476879727165,0.06618693459060083,0.08881193160159641,0.09038569089182669
0.2408597469329834,0.06587067705439814,0.0653757405762531,0.07524149779103906,0.0740102249693264,0.05997464394687309,0.058722191812233454,0.09099840687126394,0.09280903595409803
0.26534247398376465,0.08086970901738434,0.08150169269436403,0.09596791227505415,0.0929322146905393,0.050111779781916437,0.05105416687158058,0.09406196799931485,0.09477858075381305
0.2896549701690674,0.06563184142153546,0.04635698603563954,0.10153384361249085,0.13068453908393454,0.05586458958695133,0.03413267294099931,0.09635274887564942,0.09453780369435633
0.3138272762298584,0.0036261383503273527,0.0362162369960899,0.15172194014408386,0.12073350413514886,0.004401391092061176,0.04894398803791651,0.10024920155837216,0.08407922913367281
0.338484525680542,0.09918300950447125,0.056405714743970874,0.10422115733211669,0.13865676087397397,0.05186810241914473,0.033015959309366266,0.10010141480051325,0.09154343735476259
0.3633537292480469,0.005699271812719647,0.013039529265891782,0.17,0.1321581395512171,0.00592124864656278,0.05808718758636004,0.10031558505855297,0.07961447876457646
0.3880276679992676,0.08965889090337717,0.042152447111850164,0.12465546784067795,0.15733718645826297,0.040882947681695786,0.031169002270921557,0.09212699925702662,0.09347336835785958
0.41269564628601074,0.06390424155951575,0.03407908731603363,0.14437103747029315,0.16128610081455952,0.028509211996047182,0.03148456343504487,0.09028619871348073,0.09596425802297472
0.4367802143096924,0.05430653483677054,0.006720926159484868,0.14925547589508512,0.17,0.031039976071589006,0.008020533428747501,0.08734396826671964,0.09528635597631072
0.4611060619354248,0.027990179531363884,0.003519208206723831,0.15001594176064964,0.17,0.04317879601816343,0.002897480884284596,0.08005850902777012,0.09889822973638243
0.48549699783325195,0.002297765174785577,0.052106675130984534,0.17,0.13043396273523059,0.00248741875831979,0.04025469593486315,0.09183650546773006,0.09078785589633256
0.5101072788238525,0.06403028679920289,0.04226218653524443,0.13379556119096797,0.15121738820722957,0.03461260994459434,0.032528718862352805,0.09105926604818368,0.09567401547464868
0.5343527793884277,0.04646271817713005,0.06815596286279517,0.1462515911575878,0.15375289358286734,0.035239766274564495,0.028978763604992946,0.0851712972621028,0.09892905567698226
0.5587990283966064,0.013543899389159685,0.04762357853353174,0.17,0.14440072028193393,0.01714927319539189,0.03320035319989125,0.09031199007082481,0.09287852659591843
0.5832867622375488,0.015775687817901146,0.003866847226410792,0.1566640679100758,0.17,0.022969598145846353,0.007830572413949162,0.08642456736983511,0.09241176458896783
0.6077268123626709,0.07492836396216147,0.0271044933600542,0.10981157994000842,0.15694060316827077,0.049443605084210224,0.027752528337863618,0.09016140991478702,0.09718191925916288
0.6317825317382812,0.05560326088574915,0.03958751046898983,0.13072102883376946,0.14262672950465494,0.03980485993820762,0.03509565138417022,0.08817929172789384,0.09525841895431496
0.6560797691345215,0.05234673459237108,0.019396746320655973,0.14248977132613216,0.16001555559797856,0.031084489251566875,0.02756495265973968,0.0879175445627214,0.09475841233799152
0.6806166172027588,0.037412193873092144,0.002695537204727783,0.15099440701859002,0.17,0.03374068920816685,0.00289393719419907,0.08629178396802352,0.09486229880942867
0.7046365737915039,0.03527859674707832,0.07694427210536066,0.16686550022572988,0.11957293305423441,0.029222964207322403,0.04614632097760493,0.09419106426851064,0.09471195137332113
0.7286133766174316,0.021972939706748445,0.05931061256629662,0.17,0.13683427752600247,0.008503734729038821,0.03435037321366175,0.08766746757484642,0.09299387739091998
0.7525641918182373,0.018852937257465983,0.07689527066160383,0.17,0.1459239842764789,0.013530643496895887,0.03573401374586258,0.08676421495648352,0.09615992910571992
0.7766623497009277,0.030002022734608967,0.06956447922656495,0.17,0.1395943445492732,0.008644919879782796,0.046421009806090735,0.08875649528231541,0.09526300070486923
0.8007886409759521,0.005642876844818501,0.0859862895922751,0.17,0.12713734995995582,0.019071850428590803,0.03392838382728655,0.0847663600516295,0.10077240808934397
0.8248651027679443,0.024821692700501344,0.07493987812303819,0.17,0.1301794230520355,0.007962958661498647,0.028596498141589217,0.08671214418014421,0.09240080994573358
0.8492250442504883,0.003588932230255978,0.003490773224445272,0.17,0.16926050211250276,0.022105583235941573,0.0026495140584793853,0.08206739373082203,0.09492023443970861
0.8735761642456055,0.026442895593416112,0.08656255518714093,0.17,0.12326350054755739,0.010111124347194286,0.02956832929659914,0.08729366519433185,0.09320232160937518
0.897892951965332,0.022012676672927188,0.09835759095476446,0.17,0.13277495503594905,0.010199492627862097,0.04375538558596834,0.08737025446443154,0.09763356595866794
0.9220809936523438,0.01808058763695891,0.11260092768483278,0.17,0.1333902066528754,0.018418832643371852,0.016395663221017917,0.08091958554283034,0.10035531153895595
0.9464178085327148,0.03135052002497773,0.10262833761005277,0.17,0.12078583363645165,0.01210042671854141,0.020059867478399603,0.08518049104067836,0.09066415556208736
0.9710171222686768,0.03352806583940539,0.10625469034155274,0.17,0.14288658894869632,0.012752711588901528,0.015047198227440507,0.0846775284248512,0.09271117541306081
