t_seconds,fr_elbow_tau,fl_elbow_tau,br_elbow_tau,bl_elbow_tau,fr_bottom_tau,fl_bottom_tau,br_bottom_tau,bl_bottom_tau
0.022998809814453125,1.3466502041156424e-05,3.815617762677485e-05,5.883728946397869e-05,6.397006931103234e-06,0.006736229346031224,0.006570959714297762,0.00658466127522275,0.006684807672684066
0.0434567928314209,6.815868798691624e-05,6.318617068962183e-05,7.948564183825084e-05,7.296894123055654e-05,0.0043325077681575725,0.004235619868702316,0.004243793198731423,0.004302964958275797
0.06377649307250977,7.503079179542861e-05,5.735980176658246e-05,6.792693379494027e-05,7.7717863480591e-05,0.0027900047187676994,0.0027333261508523223,0.0027381682309688335,0.002772983287371043
0.08434486389160156,6.126853833781157e-05,4.433769496015547e-05,5.084537849882104e-05,6.2659147730965e-05,0.0018050890746242635,0.0017712798772237912,0.0017741831616724449,0.001795046015414992
0.10487508773803711,4.5036812686162066e-05,3.1925599418700436e-05,3.59112860825383e-05,4.576837882700816e-05,0.0011724733444157982,0.0011518227782706056,0.0011535920314405632,0.0011664026930642687
0.1302483081817627,0.005100568424220786,0.006072678396084477,0.01340224766914206,0.022521030531727975,0.1824,0.1824,0.1824,0.1824
0.15403079986572266,0.0005361146542839977,0.0276449497974651,0.025034222391494235,0.029790991462274232,0.1824,0.17962221349901522,0.1824,0.1824
0.17773675918579102,0.041289855190941256,0.04315394701675913,0.049715004912990086,0.022701976513862694,0.16257429994988443,0.16242310577583724,0.1824,0.1824
0.2012033462524414,0.018414370587334996,0.010762195729661464,0.01989815257510539,0.022439310344355513,0.16362205560432788,0.1672751608115501,0.1824,0.1824
0.2237110137939453,0.044746929085164394,0.016388813860191934,0.01258546546572938,0.012360338321538687,0.1394029890233622,0.13163622396196642,0.1737573446295671,0.17006378400559904
0.24559926986694336,0.02450340793569406,0.05181985687456106,0.059855219802625925,0.0007015095442662582,0.046036440944425286,0.12962550624847083,0.11868590581253996,0.009550352393541295
0.2669665813446045,0.004519527419512843,0.013664162493771516,0.005717397202951624,0.009818231012634886,0.10635368588774331,0.08914555272948677,0.0844545706344885,0.11158333324311219
0.2881288528442383,0.04374309165037406,0.06467469241169041,0.011034833412788802,0.06793377311540885,0.10051876333540825,0.1824,0.1482150756485606,0.07603884917821876
0.30960536003112793,0.03427934765789338,0.030927240459169666,0.012637433775775383,0.03033304875116769,0.07171855338441582,0.12941947709817003,0.17823334584613262,0.08151541321574023
0.33074450492858887,0.04316612008214682,0.022487302694079978,0.0018506258076664175,0.017395177846092912,0.07628341345175113,0.051674027196197056,0.10725703044273369,0.08388847280911345
0.35205698013305664,0.013065287955932373,0.036932590143320475,0.007469574285639671,0.025170303515104856,0.04826294369079297,0.0628241235664631,0.1452741363382238,0.08725224526528974
0.37313151359558105,0.05239079151579638,0.049273095647386286,0.002414717057563819,0.04818588357353781,0.0793972268610979,0.11103137290879016,0.0978080520593263,0.052152375717772696
0.39423537254333496,0.02284923795018182,0.04945249782859279,0.00944450373373806,0.005028679664697632,0.04883777663334801,0.08778098893101359,0.15625762676294497,0.07743265126447468
0.4151926040649414,0.05983356805294089,0.03440026823272287,0.0007399557441678521,0.04757407283169326,0.08879690172186562,0.06872626783504912,0.003212644981078107,0.05069292112149401
0.43610072135925293,0.057473926866840545,0.024205344836458486,0.002651598583555095,0.039064977484661645,0.06776888886688805,0.054329402726929696,0.06390772601654339,0.054040244605067594
0.45778441429138184,0.013771475350521874,0.03382984377402772,0.024649281540927707,0.011594376469511943,0.06930214991613186,0.06718976582043525,0.14556878576791243,0.08720754136169816
0.4801790714263916,0.011661482547406498,0.047635279637127194,0.005733618305292363,0.02121088767643475,0.06990396380035473,0.09156412974864574,0.10923487541968248,0.04121207501452196
0.502516508102417,0.015047171928246644,0.027502439588354667,0.006198850648113898,0.011867859840276907,0.06428814235341902,0.06840152729711778,0.08966215253868985,0.047502154181616144
0.5249967575073242,0.021430850937506025,0.027748209438072408,0.004426710048117079,0.016769395190602412,0.0621624415194713,0.07049124491168247,0.08274167373679507,0.05179015020167243
0.5473179817199707,0.037909654127764515,0.016470622514545633,0.004070687897749699,0.023806464151953435,0.059251541990359986,0.06942233624499969,0.07869991547705622,0.05961956313833019
0.5701134204864502,0.0017067958781956077,0.02017130298466721,0.009005739881936994,0.010091949504240824,0.06419605437327393,0.08063490569163874,0.05666498783213416,0.04271358169038053
0.592383861541748,0.009096419589338886,0.03857683132193962,0.0010893217404228694,0.012498851921073742,0.06914924458516607,0.050775176457719555,0.05872431881013495,0.05207209243394423
0.614431619644165,0.029055150031950843,0.03443335241576689,0.0181299617834462,0.003041835335475552,0.056879923691148325,0.053860453277841586,0.07066051074634204,0.0667686224126761
0.6365423202514648,0.03801952202573159,0.029335691004067098,0.012802286367477081,0.008528097064863583,0.05484696992670387,0.08976617639951967,0.06003071576417766,0.03782046006966838
0.6588165760040283,0.06711464900753188,0.07304002911766334,0.0013986365808333753,0.07316098674165118,0.09906199513433027,0.1435002493705276,0.017438732329127807,0.008544512545894875
0.6809520721435547,0.07257169741477648,0.05029017399058453,0.012277973003193391,0.034591962195184546,0.05656341657560592,0.11059903248313879,0.0665340509303083,0.03928982609529426
0.7028696537017822,0.020490528126519574,0.02148176336993908,0.008156590102026247,0.012805114163364214,0.0529138489722931,0.06952851189252492,0.05954758639682862,0.06237041036333575
0.725257396697998,0.007130152322394271,0.004205052324383734,0.002275563535088995,0.009645558166626409,0.04361759731573144,0.08284101182473637,0.05576152058090373,0.06791967074244311
