t_seconds,fr_elbow_tau,fl_elbow_tau,br_elbow_tau,bl_elbow_tau,fr_bottom_tau,fl_bottom_tau,br_bottom_tau,bl_bottom_tau
0.02034902572631836,0.0040861276943530275,0.004217827180204394,0.005225448833331936,0.003585378748223199,0.17,0.17,0.17,0.17
0.04072761535644531,1.33079790884353e-05,1.1852592531133567e-05,8.709986015127357e-05,6.363931841308342e-05,6.969595711874303e-05,7.161027723805867e-05,7.221770876243815e-05,7.48729152833242e-05
0.06110858917236328,1.327992477911849e-05,1.179211569405322e-05,8.69521507235172e-05,6.348316356048543e-05,7.030179395334323e-05,7.218511645396958e-05,7.269725607112277e-05,7.537167059425506e-05
0.08124256134033203,1.3248211711895669e-05,1.1725345159697111e-05,8.681533881611799e-05,6.335822931687967e-05,7.08671817750337e-05,7.272182938423301e-05,7.314443851447623e-05,7.583685788244715e-05
0.10146951675415039,1.3213585026870837e-05,1.1653413362838569e-05,8.66695641003597e-05,6.322548322180758e-05,7.14565698526641e-05,7.328129979655072e-05,7.361030049831127e-05,7.632139411053844e-05
0.1214749813079834,1.3177506627307446e-05,1.1579398795919727e-05,8.652093026493731e-05,6.309036295753396e-05,7.204420759072022e-05,7.383908256842224e-05,7.407449285478714e-05,7.680410158998159e-05
0.1419055461883545,1.3139985609566685e-05,1.1503317593786846e-05,8.636944535288975e-05,6.295287483787e-05,7.263008136311059e-05,7.439516661763974e-05,7.453701493328046e-05,7.728497646370484e-05
0.16232848167419434,1.3099302461487204e-05,1.1421739363863283e-05,8.620833383048077e-05,6.280688509816709e-05,7.323953285508848e-05,7.497360533245879e-05,7.501786255287268e-05,7.778479869366347e-05
0.18268132209777832,1.3057958595175183e-05,1.1339708135736014e-05,8.6047585348e-05,6.266145376242092e-05,7.38343979668553e-05,7.553817765621683e-05,7.548692292348139e-05,7.827226111395977e-05
0.20302438735961914,1.3015129284552451e-05,1.1255560827380738e-05,8.588387696186918e-05,6.251357097171228e-05,7.442737941072094e-05,7.610094195486504e-05,7.595422819129672e-05,7.87577901627213e-05
